FEB = 57, CHIP = 2, Vref_integ = 5
FEB = 58, CHIP = 1, Vref_integ = 5
FEB = 58, CHIP = 2, Vref_integ = 0
FEB = 55, CHIP = 1, Vref_integ = 5
FEB = 55, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 79, CHIP = 1, Vref_integ = 0
FEB = 79, CHIP = 2, Vref_integ = 0
FEB = 45, CHIP = 1, Vref_integ = 0
FEB = 45, CHIP = 2, Vref_integ = 0
FEB = 45, CHIP = 1, Vref_integ = 0
FEB = 45, CHIP = 2, Vref_integ = 0
FEB = 44, CHIP = 1, Vref_integ = 0
FEB = 44, CHIP = 2, Vref_integ = 0
FEB = 18, CHIP = 1, Vref_integ = 0
FEB = 18, CHIP = 2, Vref_integ = 0
FEB = 24, CHIP = 1, Vref_integ = 0
FEB = 24, CHIP = 2, Vref_integ = 0
FEB = 48, CHIP = 1, Vref_integ = 5
FEB = 48, CHIP = 2, Vref_integ = 0
FEB = 48, CHIP = 1, Vref_integ = 5
FEB = 48, CHIP = 2, Vref_integ = 0
FEB = 79, CHIP = 1, Vref_integ = 0
FEB = 79, CHIP = 2, Vref_integ = 0
FEB = 79, CHIP = 1, Vref_integ = 0
FEB = 79, CHIP = 2, Vref_integ = 5
FEB = 27, CHIP = 1, Vref_integ = 0
FEB = 27, CHIP = 2, Vref_integ = 0
FEB = 27, CHIP = 1, Vref_integ = 0
FEB = 27, CHIP = 2, Vref_integ = 0
FEB = 22, CHIP = 1, Vref_integ = 0
FEB = 22, CHIP = 2, Vref_integ = 0
FEB = 22, CHIP = 1, Vref_integ = 0
FEB = 22, CHIP = 2, Vref_integ = 0
FEB = 2, CHIP = 1, Vref_integ = 0
FEB = 2, CHIP = 2, Vref_integ = 0
FEB = 2, CHIP = 1, Vref_integ = 0
FEB = 2, CHIP = 2, Vref_integ = 0
FEB = 70, CHIP = 1, Vref_integ = 0
FEB = 70, CHIP = 2, Vref_integ = 0
FEB = 65, CHIP = 1, Vref_integ = 0
FEB = 65, CHIP = 2, Vref_integ = 0
FEB = 59, CHIP = 1, Vref_integ = 0
FEB = 59, CHIP = 2, Vref_integ = 0
FEB = 69, CHIP = 1, Vref_integ = 0
FEB = 69, CHIP = 2, Vref_integ = 0
FEB = 39, CHIP = 1, Vref_integ = 0
FEB = 39, CHIP = 2, Vref_integ = 0
FEB = 39, CHIP = 1, Vref_integ = 0
FEB = 39, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 74, CHIP = 1, Vref_integ = 0
FEB = 74, CHIP = 2, Vref_integ = 0
FEB = 25, CHIP = 1, Vref_integ = 0
FEB = 25, CHIP = 2, Vref_integ = 0
FEB = 47, CHIP = 1, Vref_integ = 0
FEB = 47, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 0
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 72, CHIP = 1, Vref_integ = 5
FEB = 72, CHIP = 2, Vref_integ = 0
FEB = 2, CHIP = 1, Vref_integ = 0
FEB = 2, CHIP = 2, Vref_integ = 0
FEB = 2, CHIP = 1, Vref_integ = 0
FEB = 2, CHIP = 2, Vref_integ = 0
FEB = 2, CHIP = 1, Vref_integ = 0
FEB = 2, CHIP = 2, Vref_integ = 0
FEB = 17, CHIP = 1, Vref_integ = 0
FEB = 17, CHIP = 2, Vref_integ = 0
FEB = 17, CHIP = 1, Vref_integ = 0
FEB = 17, CHIP = 2, Vref_integ = 0
FEB = 18, CHIP = 1, Vref_integ = 0
FEB = 18, CHIP = 2, Vref_integ = 0
FEB = 19, CHIP = 1, Vref_integ = 0
FEB = 19, CHIP = 2, Vref_integ = 0
FEB = 20, CHIP = 1, Vref_integ = 0
FEB = 20, CHIP = 2, Vref_integ = 0
FEB = 21, CHIP = 1, Vref_integ = 0
FEB = 21, CHIP = 2, Vref_integ = 0
FEB = 22, CHIP = 1, Vref_integ = 0
FEB = 22, CHIP = 2, Vref_integ = 0
FEB = 22, CHIP = 1, Vref_integ = 0
FEB = 22, CHIP = 2, Vref_integ = 0
FEB = 24, CHIP = 1, Vref_integ = 0
FEB = 24, CHIP = 2, Vref_integ = 0
FEB = 24, CHIP = 1, Vref_integ = 0
FEB = 24, CHIP = 2, Vref_integ = 0
FEB = 25, CHIP = 1, Vref_integ = 0
FEB = 25, CHIP = 2, Vref_integ = 0
FEB = 27, CHIP = 1, Vref_integ = 0
FEB = 27, CHIP = 2, Vref_integ = 0
FEB = 35, CHIP = 1, Vref_integ = 5
FEB = 35, CHIP = 2, Vref_integ = 0
FEB = 36, CHIP = 1, Vref_integ = 0
FEB = 36, CHIP = 2, Vref_integ = 0
FEB = 37, CHIP = 1, Vref_integ = 0
FEB = 37, CHIP = 2, Vref_integ = 0
FEB = 39, CHIP = 1, Vref_integ = 0
FEB = 39, CHIP = 2, Vref_integ = 0
FEB = 40, CHIP = 1, Vref_integ = 0
FEB = 40, CHIP = 2, Vref_integ = 0
FEB = 44, CHIP = 1, Vref_integ = 0
FEB = 44, CHIP = 2, Vref_integ = 0
FEB = 45, CHIP = 1, Vref_integ = 0
FEB = 45, CHIP = 2, Vref_integ = 0
FEB = 47, CHIP = 1, Vref_integ = 0
FEB = 47, CHIP = 2, Vref_integ = 0
FEB = 48, CHIP = 1, Vref_integ = 5
FEB = 48, CHIP = 2, Vref_integ = 0
FEB = 48, CHIP = 1, Vref_integ = 5
FEB = 48, CHIP = 2, Vref_integ = 0
FEB = 49, CHIP = 1, Vref_integ = 0
FEB = 49, CHIP = 2, Vref_integ = 0
FEB = 53, CHIP = 1, Vref_integ = 0
FEB = 53, CHIP = 2, Vref_integ = 0
FEB = 53, CHIP = 1, Vref_integ = 0
FEB = 53, CHIP = 2, Vref_integ = 0
FEB = 54, CHIP = 1, Vref_integ = 0
FEB = 54, CHIP = 2, Vref_integ = 0
FEB = 54, CHIP = 1, Vref_integ = 0
FEB = 54, CHIP = 2, Vref_integ = 0
FEB = 55, CHIP = 1, Vref_integ = 5
FEB = 55, CHIP = 2, Vref_integ = 0
FEB = 55, CHIP = 1, Vref_integ = 5
FEB = 55, CHIP = 2, Vref_integ = 0
FEB = 56, CHIP = 1, Vref_integ = 0
FEB = 56, CHIP = 2, Vref_integ = 0
FEB = 57, CHIP = 1, Vref_integ = 0
FEB = 57, CHIP = 2, Vref_integ = 5
FEB = 58, CHIP = 1, Vref_integ = 5
FEB = 58, CHIP = 2, Vref_integ = 0
FEB = 59, CHIP = 1, Vref_integ = 0
FEB = 59, CHIP = 2, Vref_integ = 0
FEB = 59, CHIP = 1, Vref_integ = 0
FEB = 59, CHIP = 2, Vref_integ = 0
FEB = 61, CHIP = 1, Vref_integ = 0
FEB = 61, CHIP = 2, Vref_integ = 0
FEB = 62, CHIP = 1, Vref_integ = 0
FEB = 62, CHIP = 2, Vref_integ = 0
FEB = 64, CHIP = 1, Vref_integ = 0
FEB = 64, CHIP = 2, Vref_integ = 0
FEB = 65, CHIP = 1, Vref_integ = 0
FEB = 65, CHIP = 2, Vref_integ = 0
FEB = 69, CHIP = 1, Vref_integ = 0
FEB = 69, CHIP = 2, Vref_integ = 0
FEB = 70, CHIP = 1, Vref_integ = 0
FEB = 70, CHIP = 2, Vref_integ = 0
